###OOB File for FRA.txt
units = {
	fleet = {
		name = "Flotte de la Féderatien"
		naval_base = 3552 ###Change to proper province number
		task_force = {
			name = "Flotte de la Féderatien"
			location = 3552 ###Change to proper province number
			ship = { name = "Gascogne" definition = battleship equipment = { ship_hull_heavy_2 = { amount = 1 owner = FRA version_name = "Internationale Class" } } }
			ship = { name = "Internationale" definition = battleship equipment = { ship_hull_heavy_2 = { amount = 1 owner = FRA version_name = "Internationale Class" } } }
			ship = { name = "Bouclier" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Claymore Class" } } }
			ship = { name = "Carquois" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Claymore Class" } } }
			ship = { name = "Céphée" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Claymore Class" } } }
			ship = { name = "Claymore" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Claymore Class" } } }
			ship = { name = "Fanion" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Claymore Class" } } }
			ship = { name = "Fleuret" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Claymore Class" } } }
			ship = { name = "Gabion" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Claymore Class" } } }
			ship = { name = "Glaive" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Claymore Class" } } }
			ship = { name = "Magon" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Claymore Class" } } }
			ship = { name = "Oriflamme" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Claymore Class" } } }
			ship = { name = "Obusier" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Claymore Class" } } }
			ship = { name = "Stylet" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Claymore Class" } } }
			ship = { name = "Tromblon" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Claymore Class" } } }
			ship = { name = "Enseigne Roux" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Enseigne Roux Class" } } }
			ship = { name = "M P Lestin" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Enseigne Roux Class" } } }
			ship = { name = "Bordeaux" definition = light_cruiser equipment = { ship_hull_cruiser_2 = { amount = 1 owner = FRA version_name = "Lyon Class" } } }
			ship = { name = "Nantes" definition = light_cruiser equipment = { ship_hull_cruiser_2 = { amount = 1 owner = FRA version_name = "Rennes Class" } } }
			ship = { name = "Rennes" definition = light_cruiser equipment = { ship_hull_cruiser_2 = { amount = 1 owner = FRA version_name = "Rennes Class" } } }
			ship = { name = "Jules Michelet" definition = heavy_cruiser equipment = { ship_hull_cruiser_coastal_defense_ship = { amount = 1 owner = FRA version_name = "Waldeck-Rousseau Class" } } }
			ship = { name = "Auguste Blanqui" definition = heavy_cruiser equipment = { ship_hull_cruiser_coastal_defense_ship = { amount = 1 owner = FRA version_name = "Waldeck-Rousseau Class" } } }
		}
	}
	fleet = {
		name = "Flotte de la Commune"
		naval_base = 3552 ###Change to proper province number
		task_force = {
			name = "Flotte de la Commune"
			location = 3552 ###Change to proper province number
			ship = { name = "Jean Jaurès" definition = battleship equipment = { ship_hull_heavy_1 = { amount = 1 owner = FRA version_name = "Bretagne Class" } } }
			ship = { name = "France" definition = battleship equipment = { ship_hull_heavy_1 = { amount = 1 owner = FRA version_name = "Courbet Class" } } }
			ship = { name = "Jean Bart" definition = battleship equipment = { ship_hull_heavy_1 = { amount = 1 owner = FRA version_name = "Courbet Class" } } }
			ship = { name = "L'Audacieux" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Cassard Class" } } }
			ship = { name = "Le Fantasque" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Cassard Class" } } }
			ship = { name = "Le Malin" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Cassard Class" } } }
			ship = { name = "Le Terrible" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Cassard Class" } } }
			ship = { name = "Le Triomphant" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Cassard Class" } } }
			ship = { name = "L'Indomptable" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Cassard Class" } } }
			ship = { name = "Mogador" definition = destroyer equipment = { ship_hull_light_2 = { amount = 1 owner = FRA version_name = "Mogador Class" } } }
			ship = { name = "Dordogne" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Siene/Spahi/Tramontane Class" } } }
			ship = { name = "Garonne" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Siene/Spahi/Tramontane Class" } } }
			ship = { name = "Loire" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Siene/Spahi/Tramontane Class" } } }
			ship = { name = "Moselle" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Siene/Spahi/Tramontane Class" } } }
			ship = { name = "Rhin" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Siene/Spahi/Tramontane Class" } } }
			ship = { name = "Siene" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Siene/Spahi/Tramontane Class" } } }
			ship = { name = "Aspirant Herber" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Siene/Spahi/Tramontane Class" } } }
			ship = { name = "Carabinier" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Siene/Spahi/Tramontane Class" } } }
			ship = { name = "Enseigne Henry" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = FRA version_name = "Siene/Spahi/Tramontane Class" } } }
